surveyid,country,year,sex,agegr,prev,se,ci_l,ci_u,var,n,deff,deff15to49,ISO
AO2015DHS,Angola,2015,male,15-19,0.00599681959730941,0.00319732780863319,0.00209831695628195,0.0170149238454445,1.02229051158591e-05,1301,2.23122243626945,2.33153945255636,AO
AO2015DHS,Angola,2015,male,20-24,0.00781826430526799,0.00453945865429401,0.00248826625088911,0.0242874159173435,2.06066848740448e-05,956,2.53959489656731,2.33153945255636,AO
AO2015DHS,Angola,2015,male,25-29,0.0127479348123476,0.00444131362621546,0.00641145120538483,0.0251880556612276,1.97252667264071e-05,791,1.23974248126896,2.33153945255636,AO
AO2015DHS,Angola,2015,male,30-34,0.0178497978833983,0.00785762788837621,0.00746957382195082,0.0420440301195044,6.17423160321875e-05,563,1.98280542285052,2.33153945255636,AO
AO2015DHS,Angola,2015,male,35-39,0.0164282412195453,0.006476585658244,0.00753007356540333,0.0354654887674449,4.19461617885718e-05,446,1.1577904550409,2.33153945255636,AO
AO2015DHS,Angola,2015,male,40-44,0.0272554786005607,0.0121326758397509,0.0112499525315181,0.064545856554707,0.000147201823032475,441,2.44849472103631,2.33153945255636,AO
AO2015DHS,Angola,2015,male,45-49,0.0144810074249079,0.00820798521873799,0.00470869700622469,0.0436451590156164,6.73710213510213e-05,351,1.65697697398383,2.33153945255636,AO
AO2015DHS,Angola,2015,male,50-54,0.00957086995344633,0.00554806191919706,0.00303761596561061,0.0297366175470136,3.07809910592445e-05,285,0.925449315290712,2.33153945255636,AO
AO2015DHS,Angola,2015,female,15-19,0.00791777190555834,0.00344674901905832,0.0033589199612374,0.0185489112486979,1.18800788003795e-05,1562,2.3623796589449,2.33153945255636,AO
AO2015DHS,Angola,2015,female,20-24,0.0151027178306589,0.00465471322884925,0.00822385394243653,0.0275754447507031,2.16663552428243e-05,1403,2.04360747807971,2.33153945255636,AO
AO2015DHS,Angola,2015,female,25-29,0.0387590227727575,0.00902670629012158,0.0244362669496556,0.0609522243552808,8.14814264481205e-05,1101,2.40791330992146,2.33153945255636,AO
AO2015DHS,Angola,2015,female,30-34,0.0313326315549053,0.0073942487339089,0.0196447298890818,0.0496224278361719,5.46749143389134e-05,850,1.53121260410834,2.33153945255636,AO
AO2015DHS,Angola,2015,female,35-39,0.0427086849530765,0.013190746453128,0.0231130386453189,0.0775981872936043,0.000173995791990708,742,3.15778336385341,2.33153945255636,AO
AO2015DHS,Angola,2015,female,40-44,0.0354623352393988,0.00982219383638097,0.0204705932687729,0.0607523978289311,9.64754917594403e-05,554,1.56257273930734,2.33153945255636,AO
AO2015DHS,Angola,2015,female,45-49,0.0417243904974824,0.0120492166512369,0.0234881900559085,0.073059849850336,0.000145183621908445,408,1.48148532523661,2.33153945255636,AO
BF2003DHS,Burkina Faso,2003,male,15-19,0.00704281749045939,0.00383428500839734,0.00240523928137724,0.0204389787430249,1.47017415256205e-05,826,1.73648835265255,1.79764883966216,BF
BF2003DHS,Burkina Faso,2003,male,20-24,0.00610342944417891,0.00378541611836222,0.00179328594621538,0.0205595892158395,1.43293751891565e-05,528,1.24722858565124,1.79764883966216,BF
